,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,,,
2022-09-14,155.0527801513672,251.51119995117188,155.30999755859375,252.22000122070312,157.10000610351562,254.22999572753906,153.61000061035156,249.86000061035156,154.7899932861328,253.52999877929688,87965400,23913000
2022-09-15,152.11764526367188,244.6904296875,152.3699951171875,245.3800048828125,155.24000549316406,251.39999389648438,151.3800048828125,244.02000427246094,154.64999389648438,249.77000427246094,90481100,31530900
2022-09-16,150.45042419433594,244.05223083496094,150.6999969482422,244.74000549316406,151.35000610351562,245.3000030517578,148.3699951171875,242.05999755859375,151.2100067138672,244.25999450683594,162278800,39791800
2022-09-19,154.22415161132812,243.8328399658203,154.47999572753906,244.52000427246094,154.55999755859375,245.13999938964844,149.10000610351562,240.85000610351562,149.30999755859375,242.47000122070312,81474200,26826900
2022-09-20,156.64015197753906,241.76866149902344,156.89999389648438,242.4499969482422,158.0800018310547,243.50999450683594,153.0800018310547,239.63999938964844,153.39999389648438,242.07000732421875,107689800,26660300
2022-09-21,153.46542358398438,238.2784881591797,153.72000122070312,238.9499969482422,158.74000549316406,247.66000366210938,153.60000610351562,238.89999389648438,157.33999633789062,244.27000427246094,101696800,28625600
2022-09-22,152.48704528808594,240.3027801513672,152.74000549316406,240.97999572753906,154.47000122070312,243.86000061035156,150.91000366210938,237.57000732421875,152.3800048828125,237.8699951171875,86652500,31061200
2022-09-23,150.1808624267578,237.2513885498047,150.42999267578125,237.9199981689453,151.47000122070312,241.1300048828125,148.55999755859375,235.1999969482422,151.19000244140625,239.5399932861328,96029900,34176000
2022-09-26,150.5203094482422,236.78269958496094,150.77000427246094,237.4499969482422,153.77000427246094,241.4499969482422,149.63999938964844,236.89999389648438,149.66000366210938,237.0500030517578,93339400,27694200
2022-09-27,151.5086669921875,235.74563598632812,151.75999450683594,236.41000366210938,154.72000122070312,241.8000030517578,149.9499969482422,234.5,152.74000549316406,239.97999572753906,84442700,27018700
2022-09-28,149.5918426513672,240.39254760742188,149.83999633789062,241.07000732421875,150.63999938964844,242.3300018310547,144.83999633789062,234.72999572753906,147.63999938964844,236.80999755859375,146691400,29029700
2022-09-29,142.24403381347656,236.8325653076172,142.47999572753906,237.5,146.72000122070312,239.9499969482422,140.67999267578125,234.41000366210938,146.10000610351562,238.88999938964844,128138200,27484200
2022-09-30,137.9711151123047,232.2454833984375,138.1999969482422,232.89999389648438,143.10000610351562,240.5399932861328,138.0,232.72999572753906,141.27999877929688,238.2899932861328,124925300,35694800
2022-10-03,142.21408081054688,240.06346130371094,142.4499969482422,240.74000549316406,143.07000732421875,241.61000061035156,137.69000244140625,234.66000366210938,138.2100067138672,235.41000366210938,114311700,28880400
2022-10-04,145.85804748535156,248.1805877685547,146.10000610351562,248.8800048828125,146.22000122070312,250.36000061035156,144.25999450683594,244.97999572753906,145.02999877929688,245.08999633789062,87830100,34888400
2022-10-05,146.15753173828125,248.4996795654297,146.39999389648438,249.1999969482422,147.3800048828125,250.5800018310547,143.00999450683594,244.10000610351562,144.07000732421875,245.99000549316406,79471000,20347100
2022-10-06,145.18914794921875,246.09645080566406,145.42999267578125,246.7899932861328,147.5399932861328,250.33999633789062,145.22000122070312,246.0800018310547,145.80999755859375,247.92999267578125,68402200,20239900
2022-10-07,139.8579864501953,233.5817413330078,140.08999633789062,234.24000549316406,143.10000610351562,241.32000732421875,139.4499969482422,233.1699981689453,142.5399932861328,240.89999389648438,85925600,37769600
2022-10-10,140.18743896484375,228.6057586669922,140.4199981689453,229.25,141.88999938964844,234.55999755859375,138.57000732421875,226.72999572753906,140.4199981689453,233.0500030517578,74899000,29743600
2022-10-11,138.7498321533203,224.77655029296875,138.97999572753906,225.41000366210938,141.35000610351562,229.05999755859375,138.22000122070312,224.11000061035156,139.89999389648438,227.6199951171875,77033700,30474000
2022-10-12,138.1108856201172,225.11558532714844,138.33999633789062,225.75,140.36000061035156,227.86000061035156,138.16000366210938,223.9600067138672,139.1300048828125,225.39999389648438,70433700,21903900
2022-10-13,142.75320434570312,233.5817413330078,142.99000549316406,234.24000549316406,143.58999633789062,236.10000610351562,134.3699951171875,219.1300048828125,134.99000549316406,219.85000610351562,113224000,42551800
2022-10-14,138.1508331298828,227.91769409179688,138.3800048828125,228.55999755859375,144.52000427246094,237.24000549316406,138.19000244140625,228.33999633789062,144.30999755859375,235.5399932861328,88598000,30198600
2022-10-17,142.17416381835938,236.86248779296875,142.41000366210938,237.52999877929688,142.89999389648438,238.9600067138672,140.27000427246094,235.13999938964844,141.07000732421875,235.82000732421875,85250900,28142300
